file_code,link_id,longitud,latitud,urban,func_class,multidigit,tile_x,tile_y,tile_zoom
4815081,1179649660,-99.57771,19.40502,N,5,Y,14640,29165,16
4815081,1179649660,-99.57753,19.40537,N,5,Y,14640,29165,16
4815085,1193618970,-99.20638,19.43036,Y,1,Y,14708,29160,16
4815085,1193618970,-99.20673,19.43061,Y,1,Y,14707,29160,16
4815085,1346360451,-99.20077,19.43973,Y,4,Y,14709,29159,16
4815085,1346360451,-99.20075,19.44015,Y,4,Y,14709,29159,16
4815085,1117640341,-99.15849,19.46392,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15842,19.46394,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15835,19.46396,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15827,19.46398,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15817,19.464,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15805,19.46402,Y,2,Y,14716,29154,16
4815085,1117640341,-99.15797,19.46403,Y,2,Y,14716,29154,16
4815085,1020268680,-99.28481,19.41803,Y,5,Y,14693,29163,16
4815085,1020268680,-99.28461,19.41799,Y,5,Y,14693,29163,16
4815085,1020268680,-99.28436,19.41804,Y,5,Y,14693,29163,16
4815085,1088931910,-99.21571,19.44235,Y,4,Y,14706,29158,16
4815085,1088931910,-99.21538,19.44251,Y,4,Y,14706,29158,16
4815085,1134009812,-99.24754,19.49497,Y,3,Y,14700,29148,16
4815085,1134009812,-99.24919,19.49646,Y,3,Y,14700,29148,16
4815087,727459017,-99.20323,19.55985,Y,3,Y,14708,29135,16
4815087,727459017,-99.20323,19.56001,Y,3,Y,14708,29135,16
4815087,799734102,-99.27821,19.51625,Y,5,Y,14694,29144,16
4815087,799734102,-99.27757,19.51625,Y,5,Y,14695,29144,16
4815087,976509897,-99.28458,19.5888,Y,5,Y,14693,29130,16
4815087,976509897,-99.28439,19.58882,Y,5,Y,14693,29130,16
4815087,976509897,-99.28408,19.58882,Y,5,Y,14693,29130,16
4815087,702927168,-99.28904,19.60131,Y,3,Y,14692,29127,16
4815087,702927168,-99.28911,19.60138,Y,3,Y,14692,29127,16
4815090,1347021204,-99.12451,19.31781,Y,3,Y,14722,29182,16
4815090,1347021204,-99.12457,19.3182,Y,3,Y,14722,29182,16
4815091,1114090362,-98.93666,19.31773,Y,5,Y,14757,29182,16
4815091,1114090362,-98.93617,19.31868,Y,5,Y,14757,29182,16
4815096,1346642523,-99.111,19.35511,Y,3,Y,14725,29175,16
4815096,1346642523,-99.11131,19.35588,Y,3,Y,14725,29175,16
4815096,1346642523,-99.11133,19.35617,Y,3,Y,14725,29175,16
4815096,1346642523,-99.11132,19.35642,Y,3,Y,14725,29175,16
4815096,1295044017,-99.08889,19.4159,Y,2,Y,14729,29163,16
4815096,1295044017,-99.08976,19.4164,Y,2,Y,14729,29163,16
4815096,702847792,-99.04464,19.48509,Y,5,Y,14737,29150,16
4815096,702847792,-99.04499,19.48516,Y,5,Y,14737,29150,16
4815097,979770765,-98.91702,19.4098,Y,5,Y,14760,29164,16
4815097,979770765,-98.91702,19.41008,Y,5,Y,14760,29164,16
4815097,979770765,-98.91697,19.41019,Y,5,Y,14760,29164,16
4815097,779187419,-98.88538,19.41506,Y,5,Y,14766,29163,16
4815097,779187419,-98.88656,19.41525,Y,5,Y,14766,29163,16
4815098,702743409,-99.02409,19.5251,Y,5,Y,14741,29142,16
4815098,702743409,-99.02469,19.52536,Y,5,Y,14741,29142,16
4815099,779983275,-98.90737,19.63926,Y,3,Y,14762,29120,16
4815099,779983275,-98.90725,19.63938,Y,3,Y,14762,29120,16
